# image_name tx ty tz qx qy qz qw
0000.png -1.788741 -0.443857 -0.782252 -0.231842 0.182859 -0.944046 -0.146935
0001.png -0.888953 -0.719063 -0.554133 -0.306223 0.079241 -0.947009 0.055875
0002.png -0.307774 -0.796446 -0.627404 -0.220700 0.016303 -0.957421 0.185394
0003.png 0.204682 -0.407347 -0.504100 -0.151016 -0.010001 -0.875645 0.458628
0004.png -0.535847 -1.173860 -0.322115 -0.101114 0.161915 -0.439092 0.877928
0005.png -0.883414 -1.661498 -0.858206 0.298854 -0.300016 0.116209 0.898427
0006.png -0.620720 -1.249793 -0.748646 -0.243581 0.087297 -0.961166 -0.095956
0007.png 0.324031 -0.185349 -0.424433 -0.210883 0.054825 -0.945502 0.241966
0008.png -0.673676 -0.025089 0.030955 -0.091935 0.264726 -0.773703 0.568201
0009.png -1.800086 0.169640 -0.134773 -0.196079 0.122766 -0.970210 0.071930
